,0
2020-09-11,100000.0
2020-09-12,99658.84292426349
2020-09-13,99875.69320411561
2020-09-14,100563.55682223337
2020-09-15,100403.36389436555
2020-09-16,101410.2621390812
2020-09-17,100261.24601300989
2020-09-18,100533.32071348166
2020-09-19,101027.79516045029
2020-09-20,100925.00747418257
2020-09-21,98624.71898361927
2020-09-22,98298.41914361109
2020-09-23,95887.80122275553
2020-09-24,96658.6554490766
2020-09-25,96597.03940039616
2020-09-26,95664.20736678813
2020-09-27,95853.725109338
2020-09-28,96703.49740208915
2020-09-29,97691.45329972984
2020-09-30,96819.66539921373
2020-10-01,97415.37519013837
2020-10-02,97959.51830629524
2020-10-03,97864.95112101425
2020-10-04,97342.48423414123
2020-10-05,98640.80803753827
2020-10-06,96747.67945249955
2020-10-07,97172.70700657558
2020-10-08,97562.20037672269
2020-10-09,99460.36936068448
2020-10-10,99113.1411810082
2020-10-11,99254.17807905369
2020-10-12,98764.56177219421
2020-10-13,97674.496945248
2020-10-14,97888.07285123614
2020-10-15,98075.86227744706
2020-10-16,97850.79778139488
2020-10-17,97481.15176760568
2020-10-18,97653.2355118855
2020-10-19,97842.03050396637
2020-10-20,97921.33194238435
2020-10-21,99050.00421394948
2020-10-22,98186.88931906159
2020-10-23,98351.2239213562
2020-10-24,98564.64270767717
2020-10-25,98251.69175459241
2020-10-26,97982.60861258369
2020-10-27,98126.89474534642
2020-10-28,97424.79608538235
2020-10-29,97194.0564269517
2020-10-30,97693.64669028364
2020-10-31,97758.51825846802
2020-11-01,97614.46466281271
2020-11-02,98018.155366086
2020-11-03,98721.22816798657
2020-11-04,98710.76399815253
2020-11-05,100849.87913412483
2020-11-06,100952.36515063157
2020-11-07,100655.46554274569
2020-11-08,101040.75439059912
2020-11-09,96548.72196034563
2020-11-10,96959.89784456327
2020-11-11,96362.91224194116
2020-11-12,97581.02331285058
2020-11-13,97516.33400348014
2020-11-14,97818.07918190178
2020-11-15,97296.87553715287
2020-11-16,97553.38282100066
2020-11-17,97062.65410689756
2020-11-18,96684.87557913523
2020-11-19,95800.98317945976
2020-11-20,96432.7236524616
2020-11-21,96520.51583769388
2020-11-22,96188.11975459919
2020-11-23,95007.59799286538
2020-11-24,93447.94018944484
2020-11-25,93447.62595011048
2020-11-26,93554.10909095022
2020-11-27,92579.4392323661
2020-11-28,92211.82320467684
2020-11-29,92021.10506786972
2020-11-30,92079.91810168773
2020-12-01,93643.32163797379
2020-12-02,93997.82760063373
2020-12-03,94835.14344617102
2020-12-04,93866.11732603192
2020-12-05,94285.31259806232
2020-12-06,94198.30601116593
2020-12-07,96063.36673886002
2020-12-08,95945.4075775296
2020-12-09,94726.2092385233
2020-12-10,94178.90487466281
2020-12-11,94095.93940560624
2020-12-12,94037.85540704396
2020-12-13,94422.14497381412
2020-12-14,94087.17212817773
2020-12-15,94953.14031622156
2020-12-16,95768.66680631462
2020-12-17,97719.35775262062
2020-12-18,97447.66013935006
2020-12-19,97125.73451087611
2020-12-20,97236.81183078414
2020-12-21,97296.06479967022
2020-12-22,96827.46481949244
2020-12-23,96611.07961385517
2020-12-24,97340.5987981351
2020-12-25,97721.77739549516
2020-12-26,98421.82093021253
2020-12-27,99191.28621867576
2020-12-28,98285.23366114152
2020-12-29,97879.81464152929
2020-12-30,98681.92939683206
2020-12-31,99390.33798262998
2021-01-01,99281.08325086122
2021-01-02,100934.96886108164
2021-01-03,100973.94710811511
2021-01-04,102866.2146773777
2021-01-05,104034.72621175244
